Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Receiver_Name,Receiver_Type,Receiver_City,Receiver_Contact,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Provider_Name,Address,Provider_City,Provider_Contact,Days_To_Expiry,Hour,Day
1,164,908,Pending,2025-03-05 05:26:00,Abigail Crawford,NGO,Lake Shawn,(010)152-8668,Dairy,22,2025-03-27,432,Restaurant,Carolchester,Vegan,Dinner,Meyer and Sons,"08209 Eaton Streets Apt. 968
South Laurenside, RI 88383",Carolchester,001-738-662-6338,21,5,5
2,353,391,Cancelled,2025-03-11 10:24:00,Regina Munoz,NGO,Lake Clinton,585.955.3149,Fruits,5,2025-03-29,418,Restaurant,Deborahfurt,Non-Vegetarian,Lunch,"Schwartz, Odonnell and Padilla","23011 Barnett Falls Apt. 524
West Cameron, WY 52614",Deborahfurt,955-658-8107x92494,17,10,11
3,626,492,Completed,2025-03-21 00:59:00,Julie Lewis,NGO,South Steven,(557)352-3497x4606,Salad,37,2025-03-29,274,Supermarket,New Dawnborough,Non-Vegetarian,Breakfast,Shields-Moore,"922 Bailey Overpass Suite 885
New William, VA 50509",New Dawnborough,9332911651,7,0,21
4,61,933,Cancelled,2025-03-04 09:08:00,Jodi Lee,NGO,West Paulfort,3517962649,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegetarian,Lunch,Davis-Hurley,"687 Sparks Forks
East Patricia, NC 25546",West Catherine,(172)389-0239x87614,17,9,4
5,345,229,Pending,2025-03-14 15:17:00,Tina Watkins,Shelter,Bushview,7774795306,Pasta,14,2025-03-20,346,Grocery Store,Thomasville,Vegan,Lunch,"Phillips, Wolfe and Martin","Unit 1376 Box 6294
DPO AE 62072",Thomasville,001-548-413-4962,5,15,14
6,273,607,Cancelled,2025-03-02 02:50:00,Sean Wolf,NGO,Mcfarlandhaven,(490)913-7034x400,Salad,32,2025-03-16,446,Catering Service,Port Richardshire,Non-Vegetarian,Lunch,Nichols-Barnes,"PSC 0287, Box 6878
APO AP 95472",Port Richardshire,507-731-3315,13,2,2
7,735,256,Cancelled,2025-03-07 23:58:00,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,Fish,2,2025-03-19,459,Supermarket,Castilloport,Non-Vegetarian,Snacks,Brown Ltd,"8358 Randy Mission
Markmouth, SC 03456",Castilloport,164.699.6716,11,23,7
8,382,900,Pending,2025-03-05 07:07:00,Hannah Reynolds,Charity,East Kevinberg,731-040-5330x77836,Salad,42,2025-03-20,208,Restaurant,East Garyton,Non-Vegetarian,Dinner,"Miller, Johnson and Fernandez","228 Kathryn Mountains Suite 986
Cortezmouth, IA 90538",East Garyton,985.790.0081x8718,14,7,5
9,278,807,Completed,2025-03-18 02:26:00,Taylor Miller,NGO,Josephside,+1-022-270-5486x316,Soup,35,2025-03-24,66,Restaurant,Lake Michaelfurt,Non-Vegetarian,Lunch,Lambert-Wilson,"2162 Johnson Field
East Caroline, AZ 13953",Lake Michaelfurt,+1-552-690-1512x083,5,2,18
10,669,975,Completed,2025-03-06 19:57:00,Danielle Bullock,Individual,Amandafurt,(888)253-9476x2056,Vegetables,14,2025-03-27,164,Grocery Store,Sylviabury,Vegetarian,Dinner,Yu-Rodriguez,"144 Armstrong Viaduct Apt. 561
East Ericchester, UT 19438",Sylviabury,017.590.2372,20,19,6
11,290,118,Pending,2025-03-04 23:01:00,Matthew Tran,Charity,South Franciscoport,583.144.1560x457,Dairy,19,2025-03-19,315,Restaurant,Lake Andrewmouth,Non-Vegetarian,Lunch,Nelson LLC,"773 Frazier Ranch
Kellerbury, GA 32205",Lake Andrewmouth,+1-859-029-3911x34890,14,23,4
12,694,739,Completed,2025-03-01 21:55:00,Nancy Jones,Shelter,West Bradley,806.457.8047x368,Bread,50,2025-03-22,995,Supermarket,Manningshire,Vegetarian,Dinner,Moore Group,"46915 Maynard Dam Suite 320
North Alyssa, CA 48762",Manningshire,889-093-8775x51762,20,21,1
13,951,959,Pending,2025-03-08 13:08:00,Samantha Gomez,Charity,Suzanneton,001-955-495-8534x09912,Vegetables,20,2025-03-16,118,Supermarket,Lake Joseph,Vegan,Lunch,Evans-Harrison,"2430 Michael Branch
Lake Brian, CA 67262",Lake Joseph,066.832.7189x65581,7,13,8
14,426,233,Cancelled,2025-03-08 16:08:00,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,Bread,6,2025-03-22,461,Restaurant,New Hannah,Vegetarian,Dinner,Murray Inc,"9576 Johnson Course
Farrellport, IN 73821",New Hannah,291.605.6162,13,16,8
15,684,97,Completed,2025-03-07 08:00:00,Nathan May,Charity,South Veronicaburgh,(808)784-9354,Rice,39,2025-03-29,221,Supermarket,Walterborough,Vegetarian,Snacks,Richardson Group,"48378 Morris Pines Apt. 216
Port Williamville, MD 62944",Walterborough,(924)099-7995,21,8,7
16,320,836,Cancelled,2025-03-07 06:17:00,Scott Craig,Shelter,South Lisa,118.382.6136,Vegetables,26,2025-03-20,484,Restaurant,North Douglasfurt,Vegetarian,Lunch,Nelson-White,"413 Atkinson Lodge
South Michael, WY 43133",North Douglasfurt,001-558-380-9342x873,12,6,7
17,465,588,Cancelled,2025-03-15 16:49:00,Laurie Alvarez,Shelter,North Raymond,(463)392-9887x42698,Rice,32,2025-03-19,532,Grocery Store,Darrylchester,Vegetarian,Snacks,Johnson-Green,"7369 Kenneth Haven
Andrewborough, UT 47985",Darrylchester,001-090-513-0319x965,3,16,15
18,952,729,Completed,2025-03-09 02:04:00,David Spence,Charity,Port Curtisside,+1-843-006-1807,Pasta,32,2025-03-28,82,Supermarket,West Lauraborough,Vegan,Dinner,Carey-Richardson,"352 Moore Greens Suite 745
Deborahtown, NV 83580",West Lauraborough,468.906.0755x92529,18,2,9
19,798,399,Pending,2025-03-16 06:32:00,Jennifer Hughes,Charity,West Donnaton,001-147-430-1204x8556,Fish,3,2025-03-30,413,Catering Service,North Mike,Vegetarian,Lunch,"Davis, Bowen and Miller","418 Adam Mission Suite 750
Jessicaville, OR 26759",North Mike,9207424674,13,6,16
20,792,88,Completed,2025-03-07 12:15:00,Eric Ryan DDS,NGO,Lake Daniel,001-677-794-6847x02126,Chicken,15,2025-03-17,308,Catering Service,Brittanyside,Vegan,Breakfast,Doyle LLC,"8157 Tammy Road
West Stephenchester, NC 16381",Brittanyside,0312154595,9,12,7
21,281,493,Completed,2025-03-04 00:29:00,Chelsea Powell,Charity,Lake Rachelburgh,001-527-059-4168x72504,Rice,28,2025-03-23,356,Supermarket,West Michael,Non-Vegetarian,Breakfast,Espinoza PLC,"410 White Heights
North Todd, ID 25520",West Michael,(410)539-3296,18,0,4
22,345,757,Pending,2025-03-09 03:11:00,Christopher Garcia,Charity,North Danielchester,+1-837-555-5633x0883,Pasta,14,2025-03-20,346,Grocery Store,Thomasville,Vegan,Lunch,"Phillips, Wolfe and Martin","Unit 1376 Box 6294
DPO AE 62072",Thomasville,001-548-413-4962,10,3,9
23,674,526,Completed,2025-03-06 22:55:00,Brian Morales,NGO,Darinland,409-939-7232x9674,Vegetables,34,2025-03-17,518,Grocery Store,Anneville,Vegetarian,Lunch,"Hill, Davis and Stewart","6315 Jonathan Views Suite 276
Jerryhaven, TX 90986",Anneville,+1-608-953-5542x841,10,22,6
24,594,717,Pending,2025-03-15 00:51:00,Jonathon Gregory,Individual,Shortfort,040-511-7461x377,Chicken,35,2025-03-28,140,Restaurant,Watsonstad,Non-Vegetarian,Breakfast,Zhang LLC,"6343 Sanders Park Suite 844
Port Brendaton, FL 49650",Watsonstad,001-943-679-8869x4358,12,0,15
25,371,10,Completed,2025-03-10 07:10:00,Mary Salazar,NGO,Wrightland,001-187-333-7518x11395,Bread,34,2025-03-21,154,Supermarket,New John,Non-Vegetarian,Lunch,Smith-Turner,"574 Jamie Mountains Apt. 480
North Timothy, CA 92067",New John,001-084-709-0706x311,10,7,10
26,959,233,Cancelled,2025-03-21 04:34:00,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,Pasta,26,2025-03-18,758,Catering Service,Port Patrick,Vegan,Breakfast,Todd Group,"Unit 6259 Box 3832
DPO AE 28167",Port Patrick,236.722.8623,-4,4,21
27,58,487,Completed,2025-03-17 05:07:00,Micheal Peterson,NGO,West Jeffreyfurt,094.330.4095,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,Harrison-Wilson,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,10,5,17
